"","Year","Rate","wave"
"1","X2007",0.872417617162102,1
"2","X2008",0.911257492814735,2
"3","X2009",0.931289716822917,3
"4","X2010",0.866576314050145,4
"5","X2011",0.856211955449196,5
"6","X2012",0.863851159279319,6
"7","X2013",0.741076607638235,7
"8","X2014",0.725489043021559,8
"9","X2015",0.610288973295896,9
"10","X2016",0.548920976109966,10
"11","X2017",0.767120829318056,11
"12","X2018",0.578501412338886,12
"13","X2019",0.627762243861846,13
"14","X2020",0.613723634798302,14
"15","X2021",0.651365463420387,15
"16","X2022",NA,16
